questionID,questionText,answerText,,
1,what is healthcare chatbot,"A health care chatbot is an AI-powered software solution designed to converse with patients and provide them with personalized health care information, advice, and support. Health care chatbots can assist patients with everything from scheduling appointments to managing chronic conditions, and can provide them with real-time answers to their health-related questions. Health care chatbots can also connect patients to healthcare professionals or direct them to appropriate resources to help them manage their health. Ultimately, health care chatbots aim to provide patients with convenient and efficient access to health care while reducing the workload of healthcare providers.",,
2,which fruits have a more colories,"Fruits that are high in calories include:

Avocado (160 calories per 100g)
Banana (89 calories per 100g)
Mango (60 calories per 100g)
Grapes (69 calories per 100g)
Pineapple (50 calories per 100g)
Papaya (43 calories per 100g)
Coconut (283 calories per 100g)
Dried fruits (raisins, dates, prunes, etc.) (250-350 calories per 100g)
Cherries (63 calories per 100g)
Pomegranate (83 calories per 100g)
It's important to note that while these fruits are higher in calories, they also come with a range of health benefits such as vitamins, minerals, and antioxidants. Moderation and balance are key in any diet.",,
3,which food have a more protein,"Foods with a higher protein content include:

Meat and poultry (such as chicken, turkey, beef, pork, lamb)
Fish and seafood (such as salmon, tuna, shrimp, and crab)
Eggs
Dairy products (such as milk, cheese, and yogurt)
Legumes and beans (such as chickpeas, lentils, black beans, and kidney beans)
Nuts and seeds (such as almonds, peanuts, sunflower seeds, and chia seeds)
Soy products (such as tofu and tempeh)",,
4,I had a headache,"I'm sorry to hear that. Have you tried taking any over-the-counter pain relievers such as aspirin or ibuprofen? It may also help to rest in a quiet, dark room and drink plenty of water. If your headache persists or worsens, it's best to consult a healthcare professional.",,
5,which fruits have a more freshing element,"Some examples of fruits that have a refreshing element are:

Watermelon
Pineapple
Cantaloupe
Honeydew melon
Mango
Citrus fruits (such as lemons, limes, oranges, and grapefruits)
Kiwi
Berries (such as strawberries, blueberries, raspberries, and blackberries)
Grapes
Pomegranate",,
5,which fruits good for a summer,"Watermelon
Mango
Pineapple
Papaya
Kiwi
Berries (strawberries, raspberries, blueberries)
Cherries
Peaches
Plums
Apricots.",,
6,which food is good for a cold,"When you have a cold, the focus should be on staying hydrated and eating nutrient-rich foods that can help your immune system fight off the virus. Some foods that may be helpful include:

Chicken soup: It has anti-inflammatory properties, which can help ease congestion and sore throat.

Ginger: It has anti-inflammatory properties and can help ease nausea and sore throat.

Garlic: It has antiviral and antibacterial properties and can help boost your immune system.

Citrus fruits: They are high in vitamin C, which can help boost your immune system.

Leafy greens: They are rich in vitamins and minerals that can help boost your immune system.

Honey: It has antibacterial properties and can help soothe a sore throat.

Hot tea: It can help ease congestion and soothe a sore throat.

Overall, it's important to listen to your body and eat foods that make you feel good.",,
7,healthy morning diet plan,"Warm lemon water: Start your day by drinking a glass of warm water with lemon juice. It helps in cleansing your system, aids digestion, and boosts your metabolism.

Breakfast: Have a balanced breakfast that includes protein, fiber, and healthy fats. Here are some options:

Oatmeal with almond milk, nuts, and berries.
A veggie omelet with whole-grain toast and avocado.
Greek yogurt with mixed berries, flax seeds, and honey.
Whole-grain toast with smashed avocado and a boiled egg.
Snack: If you feel hungry mid-morning, have a healthy snack like fruits, nuts, or a smoothie. Here are some options:
Apple slices with almond butter.
Banana smoothie with almond milk, chia seeds, and cinnamon.
A handful of mixed nuts.",,
8,i am overweight .  how can i loose my weight,,,
9,i am overweight .  how can i loose my weight. can you recommend some juice,You have reached your daily limit. It will update in 24 hours.,,
10,i am overweight . how can i loose my weight,"When you have a lot of weight to lose, it means playing the long game. And …
People who eat more in the morning and less at night tend to lose more …",,
11,i am overweight .  how can i loose my weight. can you recommend some juice,"Good food swaps include: whole-grain rice, bread, and pasta instead of the white versions fruit, nuts, and seeds instead of high sugar snacks herb teas and fruit-infused water instead of high sugar sodas smoothies with water or milk instead of fruit juice",,
12,how many hours i walked in a day,"While your body is made for walking, the distance you can achieve at an average walking pace of 3.1 miles per hour depends on whether you have trained for it or not. Steadily building your mileage with training allows you to walk long distances with less risk of injury.",,
13,how many litre in a day carry a water,"Health experts often recommend people to drink eight 8-ounce glasses of water per day. This i…
Your body is about 60 percent water.
The body constantly loses water throughout the day, mostly through urine and sweat but also fr…
There are many different opinions on just how much water you should be drinking every day.",,
14,"Health experts often recommend people to drink eight 8-ounce glasses of water per day. This i…
Your body is about 60 percent water.
The body constantly loses water throughout the day, mostly through urine and sweat but also fr…
There are many different opinions on just how much water you should be drinking every day.","A total daily intake of around 2.7 liters (91 ounces) for women and 3.7 liters (125 ounces) for men can meet most adults’ needs (19). Depending on the other foods and beverages you consume, you may…",,
15,How much water should a woman drink a day?,"About 11.5 cups (2.7 liters) of fluids a day for women. ... You've probably heard the advice, ""Drink eight 8-ounce glasses of water a day.""",,
16,which food is best food for digestion,"In addition to most dried beans, peas, and lentils, other good foods for digestion that have a high fiber content are whole grains, raspberries, and artichokes, among many other fruits and vegetables. Friendly bacteria that live inside your digestive tract help digestion.",,
17,What is the best diet for digestion?,"Therefore, eating a diet based on whole foods and limiting the intake of processed foods may be best for optimal digestion. Summary Diets high in processed foods have been linked to a higher risk of digestive disorders.",,
18,How can I improve my digestion after eating?,"Regular exercise is one of the best ways to improve your digestion. Exercise and gravity help food travel through your digestive system. Therefore, taking a walk after a meal may assist your body in moving things along. ). ). ). Summary Exercise may improve your digestion and reduce symptoms of constipation.",,
19,Is yogurt good for digestion?,"It contains friendly bacteria known as probiotics, which are good bacteria that live in your digestive tract and can help improve digestion, keeping your gut healthy ( 1, 2 ). While probiotics naturally occur in your gut, boosting your intake through foods like yogurt can ease digestion ( 1, 3 ).",,
20,,,,
21,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
